,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
430,1.790253980627479,50,400,100,50,512,MinMaxScaler
431,1.7906634478472765,50,400,100,50,512,QuantileTransformer
432,1.7906323969920486,50,1000,1000,2,32,StandardScaler
433,1.7902891334346611,50,1000,1000,2,32,MinMaxScaler
434,1.790599460062648,50,1000,1000,2,32,QuantileTransformer
435,1.7906104841250643,50,1000,1000,2,128,StandardScaler
436,1.7903088969997385,50,1000,1000,2,128,MinMaxScaler
437,1.7906711582390322,50,1000,1000,2,128,QuantileTransformer
438,1.7906955186654872,50,1000,1000,2,512,StandardScaler
439,1.7903597316667763,50,1000,1000,2,512,MinMaxScaler
440,1.790765166570376,50,1000,1000,2,512,QuantileTransformer
441,1.7907237475033766,50,1000,1000,10,32,StandardScaler
442,1.7903544066445611,50,1000,1000,10,32,MinMaxScaler
443,1.7906569675602322,50,1000,1000,10,32,QuantileTransformer
444,1.790663246766511,50,1000,1000,10,128,StandardScaler
445,1.7903309875346642,50,1000,1000,10,128,MinMaxScaler
446,1.7906921087736969,50,1000,1000,10,128,QuantileTransformer
447,1.7907142223236168,50,1000,1000,10,512,StandardScaler
448,1.7903649479427193,50,1000,1000,10,512,MinMaxScaler
449,1.7907677266185245,50,1000,1000,10,512,QuantileTransformer
450,1.7907233965003129,50,1000,1000,20,32,StandardScaler
451,1.7903275923396362,50,1000,1000,20,32,MinMaxScaler
452,1.7906254017656158,50,1000,1000,20,32,QuantileTransformer
453,1.790631842767338,50,1000,1000,20,128,StandardScaler
454,1.7902659187523169,50,1000,1000,20,128,MinMaxScaler
455,1.7906294048016604,50,1000,1000,20,128,QuantileTransformer
456,1.7906512545051392,50,1000,1000,20,512,StandardScaler
457,1.7902849947502733,50,1000,1000,20,512,MinMaxScaler
458,1.7906865360421311,50,1000,1000,20,512,QuantileTransformer
459,1.7906344628312507,50,1000,1000,50,32,StandardScaler
460,1.790244727700227,50,1000,1000,50,32,MinMaxScaler
461,1.7905181433583823,50,1000,1000,50,32,QuantileTransformer
462,1.790513614571957,50,1000,1000,50,128,StandardScaler
463,1.7901513637271556,50,1000,1000,50,128,MinMaxScaler
464,1.7905035954829955,50,1000,1000,50,128,QuantileTransformer
